,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID GENERALES,,,,,,UBICACIÓN,,,,SUP. MEDIDAS,,,,,DISTRIBUCIÓN,,,,,CONSTRUCTIVO,,,,SERVICIOS,,,,,,EQUIPAMENTO,COMERCIAL,,,,,,,,,
ID,PROPIETARIO,ESTADO,INQUILINO,TIPO DE OPERACIÓN,TIPO DE PROPIEDAD,DEPARTAMENTO,BARRIO,NÚMERO,COMPRA EN SAN JUAN,GPS,SUPERF. TERRENO,SUPERF.CUB.,FRENTE/CONTRF,N DE PISOS,CANT. AMBIENTES,CANT. DORMITORIOS,CANT.BANOS,COCHERA,ASCENSOR/ESCAL,ORIENTACION,PLANO DE ESTR,PLANO MENS,AÑO DE CONST,Nº SUMIN,CLOACAS,CAÑERIA,ELECTRIC,INTERNET,AGUA,CALEF/REFRIG,DNI-PROP,DNI-INQ,PERM/FINAN,N.C,EXPENSAS,MonedaP,PRECIO,MonedaM,Mensual,FECHA PUBLICACIÓN
,,,,,CASA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2597579/apta-credito-hipotecario-casa-4-dormitorios-en-b-chacabuco-excelente-ubicacion-capital,,208.65,138,,,,5,,SI,,,,,Menos de 30 a�os,,,,,,,,,,,,,,,DOLARES,140.000,25/02/2026
,,,,VENTA,CASA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2465338/apta-credito-hipotecario-venta-casa-b-municipal-4-dormitorios-calle-arenales-excelente-inversion-capital,,264.44,129,,,,5,,2,,,,,Menos de 40 a�os,,,,,,,,,,,,,DOLARES,150.000,,,05/05/2025
,,,,VENTA,CASA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2562288/apta-credito-hipotecario-venta-casa-en-capital-3-dormitorios-en-pasaje,,250,91,,,,3,,,,,,,Mas de 40 a�os,,,,,,,,,,,,,DOLARES,78.000,,,03/12/2025
,,,,VENTA,CASA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2541533/apta-credito-hipotecario-venta-inversion-casa-2-pisos-en-capital-alem-y-maipu,,180,220,,,,3,,,,,,,Menos de 20 a�os,,,,,,,,,,,,,DOLARES,168.000,,,17/10/2025
,,,,,CASA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/1854890/casa-sobre-calle-gral-acha-casi-manuel-belgrano,,343,300,,,,4,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,,,PESOS,,22/07/2021
,,,,,LOCAL/SALÓN/OFICINA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2610131/excelente-lote-para-desarrollo-zona-centro,,1500,,,,,,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,,,DOLARES,580.000,25/03/2026
,,,,VENTA,CASA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2265697/ideal-clinica-venta-casa-de-3-pisos-sobre-calle-san-luis,,501,450,,,,5,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,DOLARES,320.000,,,29/02/2024
,,,,,CASA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2459852/inversion-en-capital-casa-4-dormitorios-mitre-casi-alem-apta-para-credito-hipotecario-,,400,250,,,,2,,SI,,,,,Menos de 5 a�os,,,,,,,,,,,,,,,DOLARES,180.000,22/04/2025
,,,,VENTA,DEPARTAMENTO,Lucia,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2480125/inversion-venta-duplex-b-privado-santa-lucia-apta-para-credito-hipotecario,,,,,,,1,,2,,,,,Menos de 5 a�os,,,,,,,,,,,,,DOLARES,100.000,,,04/06/2025
,,,,,TERRENO/LOTE,Rivadavia,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2610178/lote-listo-para-aprovechar-con-mejoras-y-servicios-470-metros-cuadrados-en-rivadavia,,470.39,,,,,,,,,,,,Menos de 20 a�os,,,,,,,,,,,,,,,DOLARES,35.000,25/03/2026
,,,,VENTA,TERRENO/LOTE,Pocito,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2560162/se-liquida-venta-excelente-lote-con-piscina-precio-por-debajo-de-su-tasacion-pocito,,2000,,,,,,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,DOLARES,25.000,,,28/11/2025
,,,,VENTA,CASA,Lucia,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2582431/venta-casa-3-dormitorios-b-jardin-del-milagro-santa-lucia,,261,190,,,,4,,,,,,,Menos de 20 a�os,,,,,,,,,,,,,DOLARES,65.000,,,23/01/2026
,,,,VENTA,CASA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2048521/venta-casa-a-reciclar-sobre-calle-san-francisco-del-monte,,552,,,,,2,,SI,,,,,Menos de 5 a�os,,,,,,,,,,,,,DOLARES,63.000,,,21/09/2022
,,,,VENTA,CASA,Lucia,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2324849/venta-casa-amoblada-2-dormitorios-de-categoria-b-privado-ayres-del-este-santa-lucia,,434,115,,,,2,,,,,,,Sin especificar,,,,,,,,,,,,,DOLARES,380.000,,,03/07/2024
,,,,VENTA,FINCA/CAMPO/QUINTA,Zonda,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2059076/venta-casa-quinta-de-usos-multiples-sierras-azules-zonda,,12925,280,,,,,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,PESOS,,,,14/10/2022
,,,,VENTA,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2540573/venta-departamento-3-dormitorios-en-25-de-mayo-y-entre-rios-3-piso-capital,,,,,,,4,,,,,,,Menos de 20 a�os,,,,,,,,,,,,,DOLARES,70.000,,,15/10/2025
,,,,VENTA,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2347257/venta-departamento-4-dormitorios-categoria-consorcio-rivadavia-2-capital,,230,,,,,4,,2,,,,,Menos de 5 a�os,,,,,,,,,,,,,DOLARES,280.000,,,21/08/2024
,,,,VENTA,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2343370/venta-departamento-capital-mitre-y-entre-rios-3-dormitorios,,98,,,,,3,,,,,,,Menos de 30 a�os,,,,,,,,,,,,,DOLARES,100.000,,,13/08/2024
,,,,VENTA,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2546829/venta-departamento-catamaran-6-2-dormitorios-con-cochera,,,,,,,4,,SI,,,,,Menos de 10 a�os,,,,,,,,,,,,,DOLARES,160.000,,,30/10/2025
,,,,VENTA,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2562732/venta-departamento-domum-belgrano-2-dormitorios,,58,58,,,,2,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,DOLARES,160.000,,,04/12/2025
,,,,VENTA,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2519440/venta-departamento-edificio-natania-54-2-dormitorios-capital,,60,60,,,,3,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,DOLARES,70.000,,,29/08/2025
,,,,VENTA,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2566915/venta-departamento-san-martin-torre-2-a-3-dormitorios,,70,70,,,,4,,,,,,,Menos de 40 a�os,,,,,,,,,,,,,DOLARES,57.000,,,15/12/2025
,,,,VENTA,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2538036/venta-duplex-en-del-bono-antes-de-av-libertador-capital,,,,,,,3,,,,,,,Menos de 20 a�os,,,,,,,,,,,,,DOLARES,65.000,,,09/10/2025
,,,,VENTA,FINCA/CAMPO/QUINTA,Zonda,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2521024/venta-en-villa-tacu-cabana-2-habitacion-y-quincho,,800,200,,,,,,,,,,,Menos de 20 a�os,,,,,,,,,,,,,DOLARES,100.000,,,02/09/2025
,,,,VENTA,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/1741172/venta-excelente-departamento-en-el-microcentro-3-habitaciones,,,120,,,,3,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,PESOS,150.000,,,05/01/2021
,,,,VENTA,TERRENO/LOTE,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2105819/venta-excelente-lote-esquina-zona-centro-civico,,,,,,,,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,DOLARES,160.000,,,07/02/2023
,,,,VENTA,NEGOCIO/INDUSTRIA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2646299/venta-fondo-de-comercio-estetica-cabina-solar,,,,,,,,,,,,,,Menos de 5 a�os,,,,,,,,,,,,,PESOS,,,,17/06/2026
